縣市,鄉鎮,同意率（基於投票人數）
南投縣,竹山鎮,67.4
南投縣,集集鎮,69.2
南投縣,名間鄉,63.8
南投縣,鹿谷鄉,70.6
南投縣,中寮鄉,70.2
南投縣,魚池鄉,70.2
南投縣,國姓鄉,73.0
南投縣,水里鄉,68.7
南投縣,信義鄉,75.6
南投縣,仁愛鄉,84.9
雲林縣,斗六市,79.2
雲林縣,斗南鎮,75.5
雲林縣,虎尾鎮,80.4
雲林縣,西螺鎮,70.0
雲林縣,土庫鎮,77.3
雲林縣,北港鎮,70.3
雲林縣,古坑鄉,75.6
雲林縣,大埤鄉,73.2
雲林縣,莿桐鄉,70.7
雲林縣,林內鄉,78.0
雲林縣,二崙鄉,66.4
雲林縣,崙背鄉,72.0
雲林縣,麥寮鄉,84.1
雲林縣,東勢鄉,80.5
雲林縣,褒忠鄉,78.5
雲林縣,臺西鄉,83.4
雲林縣,元長鄉,76.7
雲林縣,四湖鄉,78.9
雲林縣,口湖鄉,73.2
雲林縣,水林鄉,67.3
嘉義縣,太保市,74.0
嘉義縣,朴子市,68.9
嘉義縣,布袋鎮,71.6
嘉義縣,大林鎮,72.1
嘉義縣,民雄鄉,71.5
嘉義縣,溪口鄉,67.6
嘉義縣,新港鄉,65.0
嘉義縣,六腳鄉,67.7
嘉義縣,東石鄉,73.5
嘉義縣,義竹鄉,70.2
嘉義縣,鹿草鄉,67.7
嘉義縣,水上鄉,70.6
嘉義縣,中埔鄉,73.3
嘉義縣,竹崎鄉,74.6
嘉義縣,梅山鄉,76.6
嘉義縣,番路鄉,76.6
嘉義縣,大埔鄉,80.0
嘉義縣,阿里山鄉,87.1
屏東縣,屏東市,61.8
屏東縣,潮州鎮,57.2
屏東縣,東港鎮,51.0
屏東縣,恆春鎮,60.1
屏東縣,萬丹鄉,51.9
屏東縣,長治鄉,59.0
屏東縣,麟洛鄉,50.1
屏東縣,九如鄉,49.1
屏東縣,里港鄉,52.1
屏東縣,鹽埔鄉,61.6
屏東縣,高樹鄉,43.4
屏東縣,萬巒鄉,48.2
屏東縣,內埔鄉,54.7
屏東縣,竹田鄉,49.5
屏東縣,新埤鄉,55.4
屏東縣,枋寮鄉,55.4
屏東縣,新園鄉,46.9
屏東縣,崁頂鄉,48.3
屏東縣,林邊鄉,47.1
屏東縣,南州鄉,48.3
屏東縣,佳冬鄉,49.7
屏東縣,琉球鄉,69.7
屏東縣,車城鄉,55.0
屏東縣,滿州鄉,56.0
屏東縣,枋山鄉,53.4
屏東縣,三地門鄉,75.2
屏東縣,霧臺鄉,68.4
屏東縣,瑪家鄉,74.3
屏東縣,泰武鄉,77.0
屏東縣,來義鄉,76.2
屏東縣,春日鄉,75.8
屏東縣,獅子鄉,83.7
屏東縣,牡丹鄉,81.7
宜蘭縣,宜蘭市,73.2
宜蘭縣,羅東鎮,67.6
宜蘭縣,蘇澳鎮,67.9
宜蘭縣,頭城鎮,74.4
宜蘭縣,礁溪鄉,69.4
宜蘭縣,壯圍鄉,68.1
宜蘭縣,員山鄉,68.4
宜蘭縣,冬山鄉,65.4
宜蘭縣,五結鄉,68.0
宜蘭縣,三星鄉,67.3
宜蘭縣,大同鄉,91.4
宜蘭縣,南澳鄉,92.9
花蓮縣,花蓮市,84.8
花蓮縣,鳳林鎮,86.0
花蓮縣,玉里鎮,85.3
花蓮縣,新城鄉,85.4
花蓮縣,吉安鄉,85.5
花蓮縣,壽豐鄉,82.9
花蓮縣,光復鄉,84.6
花蓮縣,豐濱鄉,84.1
花蓮縣,瑞穗鄉,86.7
花蓮縣,富里鄉,86.7
花蓮縣,秀林鄉,88.2
花蓮縣,萬榮鄉,87.4
花蓮縣,卓溪鄉,91.5
臺東縣,臺東市,82.8
臺東縣,成功鎮,84.8
臺東縣,關山鎮,84.5
臺東縣,卑南鄉,83.6
臺東縣,鹿野鄉,79.2
臺東縣,池上鄉,79.6
臺東縣,東河鄉,82.1
臺東縣,長濱鄉,83.5
臺東縣,太麻里鄉,82.9
臺東縣,大武鄉,84.8
臺東縣,綠島鄉,86.3
臺東縣,海端鄉,90.8
臺東縣,延平鄉,88.3
臺東縣,金峰鄉,90.2
臺東縣,達仁鄉,89.6
臺東縣,蘭嶼鄉,64.3
澎湖縣,馬公市,77.6
澎湖縣,湖西鄉,72.4
澎湖縣,白沙鄉,75.1
澎湖縣,西嶼鄉,73.0
澎湖縣,望安鄉,68.0
澎湖縣,七美鄉,79.1
金門縣,金城鎮,93.5
金門縣,金沙鎮,93.7
金門縣,金湖鎮,92.8
金門縣,金寧鄉,92.2
金門縣,烈嶼鄉,94.2
金門縣,烏坵鄉,97.9
連江縣,南竿鄉,92.4
連江縣,北竿鄉,91.6
連江縣,莒光鄉,94.5
連江縣,東引鄉,94.8
基隆市,中正區,78.4
基隆市,七堵區,78.1
基隆市,暖暖區,81.2
基隆市,仁愛區,75.7
基隆市,中山區,79.3
基隆市,安樂區,79.4
基隆市,信義區,81.4
新竹市,東區,81.3
新竹市,北區,79.5
新竹市,香山區,79.3
嘉義市,東區,71.8
嘉義市,西區,70.8
