縣市,鄉鎮,投票率
南投縣,竹山鎮,45.1
南投縣,集集鎮,50.4
南投縣,名間鄉,49.4
南投縣,鹿谷鄉,46.4
南投縣,中寮鄉,47.0
南投縣,魚池鄉,42.7
南投縣,國姓鄉,45.6
南投縣,水里鄉,45.2
南投縣,信義鄉,31.0
南投縣,仁愛鄉,28.6
雲林縣,斗六市,28.0
雲林縣,斗南鎮,27.0
雲林縣,虎尾鎮,25.1
雲林縣,西螺鎮,22.1
雲林縣,土庫鎮,21.0
雲林縣,北港鎮,23.6
雲林縣,古坑鄉,24.0
雲林縣,大埤鄉,22.7
雲林縣,莿桐鄉,23.6
雲林縣,林內鄉,24.7
雲林縣,二崙鄉,19.8
雲林縣,崙背鄉,20.9
雲林縣,麥寮鄉,17.7
雲林縣,東勢鄉,18.6
雲林縣,褒忠鄉,21.2
雲林縣,臺西鄉,19.2
雲林縣,元長鄉,18.2
雲林縣,四湖鄉,16.6
雲林縣,口湖鄉,17.7
雲林縣,水林鄉,16.9
嘉義縣,太保市,23.1
嘉義縣,朴子市,24.1
嘉義縣,布袋鎮,21.4
嘉義縣,大林鎮,25.9
嘉義縣,民雄鄉,25.9
嘉義縣,溪口鄉,22.6
嘉義縣,新港鄉,22.7
嘉義縣,六腳鄉,21.4
嘉義縣,東石鄉,19.6
嘉義縣,義竹鄉,21.3
嘉義縣,鹿草鄉,21.2
嘉義縣,水上鄉,25.2
嘉義縣,中埔鄉,23.1
嘉義縣,竹崎鄉,22.7
嘉義縣,梅山鄉,24.3
嘉義縣,番路鄉,22.5
嘉義縣,大埔鄉,13.3
嘉義縣,阿里山鄉,25.7
屏東縣,屏東市,33.3
屏東縣,潮州鎮,31.0
屏東縣,東港鎮,29.3
屏東縣,恆春鎮,27.3
屏東縣,萬丹鄉,32.4
屏東縣,長治鄉,31.5
屏東縣,麟洛鄉,38.6
屏東縣,九如鄉,31.7
屏東縣,里港鄉,31.7
屏東縣,鹽埔鄉,27.3
屏東縣,高樹鄉,29.8
屏東縣,萬巒鄉,30.0
屏東縣,內埔鄉,30.9
