縣市,鄉鎮,不同意率（基於投票人數）
南投縣,竹山鎮,30.5
南投縣,集集鎮,28.6
南投縣,名間鄉,33.7
南投縣,鹿谷鄉,27.2
南投縣,中寮鄉,27.6
南投縣,魚池鄉,27.9
南投縣,國姓鄉,24.6
南投縣,水里鄉,29.2
南投縣,信義鄉,22.3
南投縣,仁愛鄉,13.2
雲林縣,斗六市,19.9
雲林縣,斗南鎮,23.8
雲林縣,虎尾鎮,19.0
雲林縣,西螺鎮,29.1
雲林縣,土庫鎮,22.2
雲林縣,北港鎮,28.9
雲林縣,古坑鄉,23.4
雲林縣,大埤鄉,25.9
雲林縣,莿桐鄉,28.1
雲林縣,林內鄉,21.0
雲林縣,二崙鄉,32.4
雲林縣,崙背鄉,26.7
雲林縣,麥寮鄉,15.2
雲林縣,東勢鄉,18.6
雲林縣,褒忠鄉,20.6
雲林縣,臺西鄉,15.8
雲林縣,元長鄉,22.4
雲林縣,四湖鄉,20.3
雲林縣,口湖鄉,25.5
雲林縣,水林鄉,32.0
嘉義縣,太保市,25.3
嘉義縣,朴子市,30.3
嘉義縣,布袋鎮,27.7
嘉義縣,大林鎮,27.2
嘉義縣,民雄鄉,28.0
嘉義縣,溪口鄉,31.8
嘉義縣,新港鄉,34.3
嘉義縣,六腳鄉,31.2
嘉義縣,東石鄉,25.8
嘉義縣,義竹鄉,28.6
嘉義縣,鹿草鄉,31.2
嘉義縣,水上鄉,28.7
嘉義縣,中埔鄉,26.0
嘉義縣,竹崎鄉,24.6
嘉義縣,梅山鄉,22.7
嘉義縣,番路鄉,22.8
嘉義縣,大埔鄉,18.5
嘉義縣,阿里山鄉,11.9
屏東縣,屏東市,37.4
屏東縣,潮州鎮,41.9
屏東縣,東港鎮,48.0
屏東縣,恆春鎮,38.9
屏東縣,萬丹鄉,47.1
屏東縣,長治鄉,40.2
屏東縣,麟洛鄉,49.0
屏東縣,九如鄉,50.1
屏東縣,里港鄉,47.1
屏東縣,鹽埔鄉,37.2
屏東縣,高樹鄉,55.3
屏東縣,萬巒鄉,50.5
屏東縣,內埔鄉,44.3
屏東縣,竹田鄉,49.2
屏東縣,新埤鄉,43.3
屏東縣,枋寮鄉,43.7
屏東縣,新園鄉,51.9
屏東縣,崁頂鄉,50.7
屏東縣,林邊鄉,51.8
屏東縣,南州鄉,50.5
屏東縣,佳冬鄉,49.1
屏東縣,琉球鄉,28.7
屏東縣,車城鄉,43.8
屏東縣,滿州鄉,42.6
屏東縣,枋山鄉,44.9
屏東縣,三地門鄉,23.2
屏東縣,霧臺鄉,29.4
屏東縣,瑪家鄉,23.6
屏東縣,泰武鄉,21.6
屏東縣,來義鄉,22.1
屏東縣,春日鄉,21.7
屏東縣,獅子鄉,14.4
屏東縣,牡丹鄉,16.2
宜蘭縣,宜蘭市,26.2
宜蘭縣,羅東鎮,31.7
宜蘭縣,蘇澳鎮,31.1
宜蘭縣,頭城鎮,24.8
宜蘭縣,礁溪鄉,29.9
宜蘭縣,壯圍鄉,30.9
宜蘭縣,員山鄉,30.7
宜蘭縣,冬山鄉,33.6
宜蘭縣,五結鄉,31.3
宜蘭縣,三星鄉,32.0
宜蘭縣,大同鄉,7.1
宜蘭縣,南澳鄉,6.6
花蓮縣,花蓮市,14.4
花蓮縣,鳳林鎮,12.6
花蓮縣,玉里鎮,13.4
花蓮縣,新城鄉,13.6
花蓮縣,吉安鄉,13.6
花蓮縣,壽豐鄉,15.9
花蓮縣,光復鄉,13.0
花蓮縣,豐濱鄉,13.5
花蓮縣,瑞穗鄉,12.0
花蓮縣,富里鄉,11.4
花蓮縣,秀林鄉,10.5
花蓮縣,萬榮鄉,10.0
花蓮縣,卓溪鄉,6.9
臺東縣,臺東市,16.6
臺東縣,成功鎮,13.9
臺東縣,關山鎮,14.5
臺東縣,卑南鄉,15.4
臺東縣,鹿野鄉,20.0
臺東縣,池上鄉,19.0
臺東縣,東河鄉,16.1
臺東縣,長濱鄉,14.4
臺東縣,太麻里鄉,15.9
臺東縣,大武鄉,14.3
臺東縣,綠島鄉,12.7
臺東縣,海端鄉,7.4
臺東縣,延平鄉,10.0
臺東縣,金峰鄉,7.9
臺東縣,達仁鄉,9.0
臺東縣,蘭嶼鄉,33.8
澎湖縣,馬公市,21.7
澎湖縣,湖西鄉,26.8
澎湖縣,白沙鄉,23.8
澎湖縣,西嶼鄉,25.9
澎湖縣,望安鄉,31.6
澎湖縣,七美鄉,19.8
金門縣,金城鎮,5.6
金門縣,金沙鎮,5.1
金門縣,金湖鎮,5.6
金門縣,金寧鄉,6.8
金門縣,烈嶼鄉,4.8
金門縣,烏坵鄉,2.1
連江縣,南竿鄉,6.3
連江縣,北竿鄉,6.8
連江縣,莒光鄉,4.5
連江縣,東引鄉,3.5
基隆市,中正區,20.7
基隆市,七堵區,21.2
基隆市,暖暖區,18.2
基隆市,仁愛區,23.3
基隆市,中山區,19.9
基隆市,安樂區,19.9
基隆市,信義區,17.9
新竹市,東區,18.1
新竹市,北區,19.6
新竹市,香山區,20.0
嘉義市,東區,27.6
嘉義市,西區,28.6
