type,city,district,voted,voted_agree,voted_disagree,valid,invalid,eligible
district,花蓮縣,吉安鄉,20788.0,17765.0,2834.0,20599.0,189.0,73164.0
district,花蓮縣,壽豐鄉,4163.0,3451.0,660.0,4111.0,52.0,15098.0
district,花蓮縣,光復鄉,2733.0,2311.0,356.0,2667.0,66.0,10367.0
district,花蓮縣,豐濱鄉,917.0,771.0,124.0,895.0,22.0,3752.0
district,花蓮縣,瑞穗鄉,2354.0,2042.0,283.0,2325.0,29.0,9413.0
district,花蓮縣,富里鄉,1951.0,1691.0,223.0,1914.0,37.0,8454.0
district,花蓮縣,秀林鄉,3287.0,2900.0,345.0,3245.0,42.0,13868.0
district,花蓮縣,萬榮鄉,1249.0,1092.0,125.0,1217.0,32.0,5053.0
district,花蓮縣,卓溪鄉,1241.0,1135.0,86.0,1221.0,20.0,4803.0
city,臺東縣,,45498.0,37858.0,7191.0,45049.0,449.0,181146.0
district,臺東縣,臺東市,23416.0,19377.0,3885.0,23262.0,154.0,86852.0
district,臺東縣,成功鎮,2713.0,2301.0,376.0,2677.0,36.0,11560.0
district,臺東縣,關山鎮,1487.0,1256.0,215.0,1471.0,16.0,6801.0
district,臺東縣,卑南鄉,3752.0,3137.0,576.0,3713.0,39.0,14696.0
district,臺東縣,鹿野鄉,1430.0,1133.0,286.0,1419.0,11.0,6402.0
district,臺東縣,池上鄉,1519.0,1209.0,289.0,1498.0,21.0,6756.0
district,臺東縣,東河鄉,1674.0,1374.0,270.0,1644.0,30.0,7132.0
district,臺東縣,長濱鄉,1559.0,1302.0,225.0,1527.0,32.0,6011.0
district,臺東縣,太麻里鄉,2180.0,1808.0,347.0,2155.0,25.0,9414.0
district,臺東縣,大武鄉,1195.0,1013.0,171.0,1184.0,11.0,4770.0
district,臺東縣,綠島鄉,605.0,522.0,77.0,599.0,6.0,3867.0
district,臺東縣,海端鄉,815.0,740.0,60.0,800.0,15.0,3516.0
district,臺東縣,延平鄉,741.0,654.0,74.0,728.0,13.0,2920.0
district,臺東縣,金峰鄉,932.0,841.0,74.0,915.0,17.0,3058.0
district,臺東縣,達仁鄉,945.0,847.0,85.0,932.0,13.0,2977.0
district,臺東縣,蘭嶼鄉,535.0,344.0,181.0,525.0,10.0,4414.0
city,澎湖縣,,17335.0,13180.0,4012.0,17192.0,143.0,94412.0
district,澎湖縣,馬公市,11307.0,8769.0,2451.0,11220.0,87.0,55227.0
district,澎湖縣,湖西鄉,2659.0,1924.0,713.0,2637.0,22.0,14568.0
district,澎湖縣,白沙鄉,1360.0,1021.0,324.0,1345.0,15.0,9016.0
district,澎湖縣,西嶼鄉,1214.0,886.0,315.0,1201.0,13.0,7326.0
district,澎湖縣,望安鄉,437.0,297.0,138.0,435.0,2.0,4816.0
district,澎湖縣,七美鄉,358.0,283.0,71.0,354.0,4.0,3459.0
city,金門縣,,15593.0,14524.0,893.0,15417.0,176.0,125917.0
district,金門縣,金城鎮,4772.0,4462.0,268.0,4730.0,42.0,36875.0
district,金門縣,金沙鎮,2275.0,2131.0,115.0,2246.0,29.0,18529.0
district,金門縣,金湖鎮,3754.0,3484.0,211.0,3695.0,59.0,27161.0
district,金門縣,金寧鄉,3503.0,3231.0,238.0,3469.0,34.0,31524.0
district,金門縣,烈嶼鄉,1242.0,1170.0,60.0,1230.0,12.0,11290.0
district,金門縣,烏坵鄉,47.0,46.0,1.0,47.0,0.0,538.0
city,連江縣,,2297.0,2129.0,136.0,2265.0,32.0,11944.0
district,連江縣,南竿鄉,1420.0,1312.0,89.0,1401.0,19.0,6557.0
district,連江縣,北竿鄉,427.0,391.0,29.0,420.0,7.0,2631.0
district,連江縣,莒光鄉,220.0,208.0,10.0,218.0,2.0,1437.0
district,連江縣,東引鄉,230.0,218.0,8.0,226.0,4.0,1319.0
city,基隆市,,89258.0,70703.0,17895.0,88598.0,660.0,318691.0
district,基隆市,中正區,12161.0,9535.0,2521.0,12056.0,105.0,46445.0
district,基隆市,七堵區,12402.0,9686.0,2624.0,12310.0,92.0,46077.0
district,基隆市,暖暖區,9460.0,7683.0,1725.0,9408.0,52.0,33766.0
district,基隆市,仁愛區,9393.0,7114.0,2189.0,9303.0,90.0,33936.0
district,基隆市,中山區,11248.0,8925.0,2240.0,11165.0,83.0,41359.0
district,基隆市,安樂區,20485.0,16273.0,4076.0,20349.0,136.0,70264.0
district,基隆市,信義區,14109.0,11487.0,2520.0,14007.0,102.0,46844.0
city,新竹市,,111465.0,89585.0,21123.0,110708.0,757.0,370898.0
district,新竹市,東區,54369.0,44221.0,9848.0,54069.0,300.0,173253.0
district,新竹市,北區,38268.0,30435.0,7514.0,37949.0,319.0,129315.0
district,新竹市,香山區,18828.0,14929.0,3761.0,18690.0,138.0,68330.0
city,嘉義市,,61324.0,43674.0,17279.0,60953.0,371.0,221496.0
district,嘉義市,東區,28486.0,20439.0,7871.0,28310.0,176.0,99398.0
district,嘉義市,西區,32838.0,23235.0,9408.0,32643.0,195.0,122098.0
